id,pardon_date,minister,crime,gender
BOE-A-1998-23702,1998-09-18,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años, cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-24373,1998-09-25,Margarita Mariscal De Gante,"un delito de contrabando, a la pena de un año, cuatro meses y un día de prisión y multa de 30.000 pesetas",Mujer
BOE-A-1998-25386,1998-10-09,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-25390,1998-10-09,Margarita Mariscal De Gante,"un delito continuado de robo con fuerza en las cosas, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-26245,1998-10-16,Margarita Mariscal De Gante,"un delito contra el deber de cumplimiento de la prestación social sustitutoria, a la pena de dos años, cuatro meses y un día de prisión menor e inhabilitación absoluta durante el tiempo de la condena y accesorias",Hombre
BOE-A-1998-26421,1998-10-23,Margarita Mariscal De Gante,"un delito de incumplimiento de la prestación social sustitutoria, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-26439,1998-10-23,Margarita Mariscal De Gante,"un delito de acusación falsa, a la pena de tres años de prisión y multa de 200.000 pesetas, y una falta contra el orden público, a la pena de 25.000 pesetas de multa, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-27131,1998-10-30,Margarita Mariscal De Gante,"un delito continuado de robo en casa habitada, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-27267,1998-11-06,Margarita Mariscal De Gante,"un delito de robo, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-29424,1998-11-20,Margarita Mariscal De Gante,"un delito de robo con fuerza, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-30116,1998-12-04,Margarita Mariscal De Gante,"un delito continuado de falsedad en documento mercantil, a la pena de seis meses y un día de prisión menor y 100.000 pesetas de multa, y un delito continuado de estafa, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1998-30122,1998-12-04,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de tres años de prisión y multa de 50.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-2840,1999-01-15,Margarita Mariscal De Gante,"un delito continuado de desobediencia a la autoridad, a la pena de seis meses de arresto mayor y multa de 500.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-2846,1999-01-15,Margarita Mariscal De Gante,"un delito continuado de malversación de caudales públicos, a la pena de seis años y un día de prisión mayor y seis años y un día de inhabilitación absoluta, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-3032,1999-01-22,Margarita Mariscal De Gante,"un delito de apropiación indebida, a la pena de dos años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-3771,1999-01-29,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de ocho años y un día de prisión mayor y multa de 101.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-3776,1999-01-29,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas, a la pena de cinco años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-4585,1999-02-05,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-6139,1999-02-22,Margarita Mariscal De Gante,"un delito de abandono de familia, a la pena de un mes y un día de arresto mayor y multa de 100.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-6748,1999-03-05,Margarita Mariscal De Gante,"un delito de robo con violencia, a la pena de siete meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1999-7932,1999-03-12,Margarita Mariscal De Gante,"un delito de robo con intimidación y uso de arma, a la pena de cinco años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-8091,1999-03-18,Margarita Mariscal De Gante,"un delito continuado de falsedad en documento mercantil, a la pena de un año de prisión menor; de una falta de estafa, a la pena de diez días de arresto menor, y de una falta de hurto, a la pena de diez días de arresto menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-8109,1999-03-26,Eduardo Serra,"un delito de abuso de autoridad, a la pena de tres meses y un día de prisión, con la accesoria legal de suspensión de cargo público y derecho de sufragio pasivo, sin responsabilidades civiles exigibles",Hombre
BOE-A-1999-8969,1999-03-26,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años, cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-8977,1999-03-26,Margarita Mariscal De Gante,"un delito de abandono de familia, a la pena de un mes y un día de arresto mayor y multa de 100.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-9097,1999-04-09,Margarita Mariscal De Gante,"un delito continuado de robo con fuerza en las cosas, a la pena de tres meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-11304,1999-04-23,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de cuatro meses y un día de arresto mayor y multa de 500.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-11380,1999-04-30,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1999-11381,1999-04-30,Margarita Mariscal De Gante,"un delito de falsedad en documento oficial, a la pena de seis meses y un día de prisión menor y multa de 150.000 pesetas, y de una falta de estafa, a la pena de quince días de arresto menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-12375,1999-05-14,Margarita Mariscal De Gante,"un delito de hurto, a la pena de un mes y un día de arresto mayor, y de un delito continuado de hurto, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-12376,1999-05-14,Margarita Mariscal De Gante,"un delito de robo con fuerza, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-12390,1999-05-14,Margarita Mariscal De Gante,"un delito de robo con violencia, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-13272,1999-05-21,Margarita Mariscal De Gante,"un delito continuado de falsedad de documento mercantil, a la pena de un año de prisión menor y multa de 350.000 pesetas, y un delito continuado de estafa, a la pena de tres meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-14028,1999-06-04,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-14694,1999-06-11,Margarita Mariscal De Gante,"un delito continuado de robo con fuerza en las cosas, a la pena de cuatro años, dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-14703,1999-06-11,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de cuatro años de prisión menor y multa de 2.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-14707,1999-06-11,Margarita Mariscal De Gante,"un delito continuado de falsedad en documento mercantil, a la pena de seis meses y un día de prisión menor y multa de 40.000 pesetas y un delito continuado de estafa, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1999-15193,1999-06-18,Margarita Mariscal De Gante,"un delito de tráfico de drogas, a la pena de tres años de prisión y multa de 15.000 pesetas, con las accesorias de inhabilitación especial para el derecho de sufragio pasivo durante el tiempo de la condena",Mujer
BOE-A-1999-16055,1999-07-02,Margarita Mariscal De Gante,"un delito de robo con fuerza en las cosas, a la pena de tres meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-16057,1999-07-02,Margarita Mariscal De Gante,"un delito de falsedad en documento mercantil, a la pena de seis meses y un día de prisión menor y multa de 100.000 pesetas, y de dos faltas de hurto, a la pena de diez días de arresto menor, por cada una de las faltas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1999-16200,1999-07-09,Margarita Mariscal De Gante,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1999-16206,1999-07-09,Margarita Mariscal De Gante,"un delito de lesiones, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
